name,sex,tot
Fatima,F,28228
Fay,F,24292
Faye,F,59869
Federico,M,6347
Felecia,F,7940
Felicia,F,86836
Felicity,F,9473
Felipe,M,26200
Felix,M,59785
Fern,F,27604
Fernanda,F,12943
Fernando,M,90887
Fidel,M,8300
Finley,F,10233
Finley,M,6266
Finn,M,15173
Finnegan,M,5849
Fiona,F,22119
Fletcher,M,7705
Flor,F,5273
Flora,F,47756
Florence,F,246466
Florine,F,8021
Flossie,F,12722
Floyd,M,139126
Forest,M,8464
Forrest,M,40699
Foster,M,5260
Frances,F,530773
Francesca,F,24783
Francesco,M,5319
Francine,F,31325
Francis,F,21288
Francis,M,267054
Francisca,F,9321
Francisco,M,127431
Frank,M,819860
Frankie,M,36123
Frankie,F,26325
Franklin,M,128614
Fred,M,297361
Freda,F,33068
Freddie,F,8006
Freddie,M,67896
Freddy,M,21320
Frederic,M,8973
Frederick,M,245633
Fredrick,M,57375
Freeman,M,5357
Freida,F,6510
Frieda,F,14986
Gabriel,M,324970
Gabriela,F,75238
Gabriella,F,107286
Gabrielle,F,129083
Gael,M,18714
Gage,M,54727
Gail,M,6008
Gail,F,197864
Gale,F,17004
Gale,M,9192
Galen,M,10643
Garland,M,19083
Garret,M,9455
Garrett,M,124805
Garry,M,43889
Garth,M,5298
Gary,M,897442
Gavin,M,165364
Gay,F,14767
Gayla,F,8213
Gayle,F,57916
Gemma,F,9828
Gena,F,8645
Genaro,M,5254
Gene,M,121825
Genesis,F,58288
Geneva,F,77010
Genevieve,F,95808
Geoffrey,M,50433
George,M,1326115
George,F,5111
Georgette,F,9097
Georgia,F,130542
Georgie,F,6743
Georgina,F,10399
Gerald,M,442252
Geraldine,F,203967
Gerard,M,53081
Gerardo,M,48074
German,M,7016
Gerry,M,10318
Gertrude,F,119843
Gia,F,11313
Giana,F,6324
Giancarlo,M,5761
Gianna,F,58891
Gianni,M,7573
Gideon,M,9653
Gilbert,M,120944
Gilberto,M,24852
Gilda,F,7331
Gillian,F,12609
Gina,F,149232
Ginger,F,41732
Gino,M,8568
Giovanna,F,8787
Giovanni,M,61142
Giselle,F,39894
Gisselle,F,8076
Giuliana,F,7713
Gladys,F,217628
Glen,M,119224
Glenda,F,105354
Glenn,M,240535
Glenna,F,20521
Gloria,F,407862
Goldie,F,22517
Gonzalo,M,7912
Gordon,M,146894
Grace,F,415561
Gracelyn,F,7487
Gracie,F,65293
Graciela,F,13057
Grady,M,40221
Graham,M,35202
Grant,M,115169
Grayson,M,59664
Greg,M,74762
Gregg,M,33122
Gregorio,M,7998
Gregory,M,703635
Greta,F,18559
Gretchen,F,47744
Greyson,M,24023
Griffin,M,34019
Griselda,F,7255
Grover,M,18342
Guadalupe,F,61211
Guadalupe,M,22099
Guillermo,M,26803
Gunnar,M,10806
Gunner,M,13574
Gus,M,11104
Gussie,F,7374
Gustavo,M,34107
Guy,M,78915
Gwen,F,24428
Gwendolyn,F,112434
Hadley,F,22452
Hailee,F,13122
Hailey,F,152359
Hal,M,11869
Haleigh,F,12227
Haley,F,152760
Halie,F,5712
Halle,F,12019
Hallie,F,21567
Hamza,M,5287
Hana,F,7508
Hank,M,6496
Hanna,F,33318
Hannah,F,410141
Hans,M,8768
Harlan,M,17327
Harley,F,20221
Harley,M,31412
Harmony,F,20629
Harold,M,525558
Harper,F,58815
Harriet,F,72701
Harriett,F,15078
Harris,M,9326
Harrison,M,63532
Harry,M,356322
Harvey,M,106925
Hassan,M,7292
